first	second
DDX19A	MIF4GD
DDX19B	MIF4GD
LSM5	MIF4GD
UBC	UPK3BL
SRGAP2	MYO1G
SVIL	MYO1G
CSF1	MYO1G
UBC	MYO1G
CD247	MYO1G
ACTB	MYO1G
SUMO2	MYO1G
STAT4	MYO1G
CAMKK2	MYO9B
DDA1	MYO9B
CHMP2A	HACD1
ALDH3B1	HACD1
HSPE1	HACD1
ACTG1	HACD1
RFT1	HACD1
DDX11	HACD1
ELOVL5	HACD1
FTSJ1	HACD1
ATXN7	THY1
EGFR	RPS19
UBC	PRR5-ARHGAP8
HDAC6	PRR5-ARHGAP8
YWHAE	FHAD1
ACTB	ESPN
RPGRIP1L	ESPN
CD247	MYO1A
SNRPF	HOMER3
CD247	NOLC1
CDC37	PRKACB
PBX2	CENPBD1
XRN1	CENPBD1
CD247	RPS27A
UBE2E3	RPS27A
MYC	MYO9A
PPP2R2B	MYO9A
POLR2M	MYO9A
MOV10	MYO9A
NXF1	MYO9A
UBC	POTEC
MYC	ABCA1
HNRNPA1	HNRNPCL2
UBC	HNRNPCL2
CD247	HNRNPCL2
SUMO2	PATE3
SRPK1	LOC401052
SIRT3	NCAPD2
CREB1	ATF7IP
APC	ATF7IP
YWHAG	ATF7IP
UBE2I	ATF7IP
SREBF2	ATF7IP
FOS	GOLM1
CD247	ACSBG1
HSP90AA1	ICK
HSP90AB1	ICK
RNF144A	UBE2K
MKRN3	UBE2K
LRSAM1	UBE2K
DTX3L	UBE2K
BIRC7	UBE2K
RNF5	UBE2K
TRAIP	UBE2K
TRIM34	UBE2K
RBCK1	UBE2K
TRIM5	UBE2K
MKRN2	UBE2K
RNF41	UBE2K
MARCH7	UBE2K
BFAR	UBE2K
CBLC	UBE2K
RNF114	UBE2K
CD247	VDAC1
KLHL38	HSPA1A
CCDC117	HSPA1A
HSPBP1	HSPA1A
NOD1	HSPA1A
CACYBP	RAD54L2
STUB1	RAD54L2
UBC	METTL8
STAT4	METTL8
UBA1	MGMT
EP300	MGMT
CREBBP	MGMT
C11orf65	CALM1
UBC	TMEM233
COPS6	DCAF4
COPS5	DCAF4
USP7	DCAF4
RILP	RAB34
PIK3R2	KRT4
USP1	KRT4
UCHL1	KRT4
UBC	KRT4
SHC1	KRT4
EPS15	KRT4
CRK	KRT4
GRB2	KRT4
CUL3	KRT4
USPL1	KRT4
UBASH3B	KRT4
WWOX	KRT4
USP25	KRT4
INVS	KRT4
ATG4B	KRT4
UBC	ZNF879
